"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"NLRP2B",0,0,0,0,0,0,0,0,0,0,0,0.223766,0
"NLRP3",73.02356,53.0129,32.08675,34.54917,31.03565,57.01896,51.63085,36.69889,21.01507,25.4111,22.76977,65.20729,48.0596
"NLRP6",0.765742,0.497929,0.838851,1.205635,1.308471,1.120027,0.748085,2.18873,0.43803,1.68065,1.615407,0.6431,3.710667
"NLRP9",0,0,0,0,0,0,0,0.09981411,0,0,0,0.107566,0
"NLRX1",4.722114,6.246442,4.923733,5.141286,6.93392,6.108778,5.202055,4.326482,3.498416,7.080324,5.207941,4.017218,3.12866
"NMB",0.115834,0.4470691,0.436578,0.223099,0.668581,0.38794,1.13768,0.461093,0.913343,0.8336396,0.709414,0.6388275,0.893056
"NMI",82.52774,102.0744,67.0873,68.65424,88.34138,57.82225,111.0404,49.91641,62.03751,76.29901,67.48492,49.48743,62.26093
"NOD1",11.02047,10.10594,7.592385,10.29505,13.74356,8.964516,12.47932,12.2922,12.21233,9.331853,7.855741,12.4572,11.696
"NOD2",16.27747,30.79896,28.43577,22.10741,24.45164,23.46312,27.03648,30.65703,23.36552,38.43653,33.42242,26.99082,34.85783
"NONO",201.7281,215.1327,232.1081,227.5131,226.3847,242.2358,218.7731,261.6029,225.29,220.6421,236.7589,223.7424,244.273
"NOP53",29.48805,26.34336,58.27692,39.17928,36.069,35.38895,56.38022,60.51567,72.76668,67.2996,50.37812,46.24275,26.84445
"NOS2",0,0.839232,0,0,0,0,0.1820344,0,0.345163,0.535301,0.0556669,0,0
"NOTCH1",7.27651,4.697999,7.17091,6.751193,6.5665,8.06494,5.690684,5.88687,5.95112,6.724582,5.2359,7.981856,5.56886
"NOTCH2",47.7564,57.26562,39.26215,40.77535,43.56099,48.7876,47.5198,83.65959,66.72369,78.36529,71.91248,47.14635,86.91651
"NOTCH4",11.2822,6.998332,3.098554,4.016827,6.16715,9.480179,6.674861,3.217921,4.216769,2.223359,3.211079,6.568389,4.981975
"NPLOC4",29.33651,35.21345,39.02296,44.18947,39.10836,32.34138,28.6799,33.66454,40.3248,38.68429,33.35319,35.30639,37.6004
"NPY",0,0,0,0,0,0,0,0,0,0.226266,0,0,0
"NR1D1",9.20641,13.8389,10.776,10.1466,10.7567,9.88632,6.0829,6.40877,9.86743,13.2694,7.78111,8.50543,13.7316
"NR1H2",98.28182,126.1586,125.9566,125.1148,129.9816,164.7928,89.18529,74.63446,78.03677,74.50907,77.78911,175.2069,172.234
"NR1H3",6.363856,4.871044,7.753423,7.687089,15.20471,9.377195,5.04751,10.96489,5.204078,5.671162,8.463166,11.98755,8.212236
"NR4A3",2.146555,1.886711,4.526487,3.684904,2.196801,11.56512,0.3321279,0.0380526,0.299432,0,0.115545,6.245795,17.7995
"NRARP",0,0,0,0,0,0.147357,0,0,0,0,0,0.0537968,0.151861
"NRROS",19.33205,19.56647,24.80644,7.548254,15.69551,13.53236,16.67185,18.04681,14.44345,18.254,12.68534,16.27601,13.16112
"NSD2",8.620827,12.12615,5.976905,7.548199,10.60714,5.269297,9.442472,11.59869,8.021471,8.635957,9.121939,5.074901,6.216838
"NTRK1",2.272318,2.945885,2.112578,0.554954,0.83897,1.21675,3.670053,9.760412,2.245249,0.5954515,1.337651,2.069974,1.835138
"NUB1",70.85659,96.34336,63.52758,58.40461,66.69127,77.00296,81.63006,66.5608,56.44916,46.43932,56.43721,56.96021,79.93035
"NUDCD1",14.90822,13.91773,14.85853,12.42544,16.06389,12.89907,20.03164,14.36956,12.6156,11.22287,13.0794,8.70224,12.34844
"NUDT21",61.2698,52.85995,41.55097,66.55277,44.73959,57.60429,38.84893,69.255,47.16804,50.49702,74.7198,69.27322,65.41155
"NUP85",87.13887,63.77338,117.8805,131.9802,88.58308,90.88252,81.90096,83.14613,68.7724,73.21152,74.02487,46.37902,73.31059
"OAS1",175.6949,306.5779,169.1136,136.1589,227.8748,122.9924,362.3301,131.0672,187.7295,235.5327,160.0081,125.3249,106.4104
"OAS2",69.25486,114.967,50.70131,51.25932,70.12312,46.53636,190.337,69.5368,91.86928,78.26438,77.31689,46.1655,54.79081
"OAS3",32.54132,73.08033,21.22498,20.5414,33.79296,29.42602,139.8177,23.22257,57.4946,40.64235,38.75059,29.65983,32.09031
"OASL",27.65158,55.80835,18.76195,23.35718,25.25133,14.46163,59.36123,17.04925,26.72395,29.19931,17.53786,10.23126,16.34661
