"from","to","strength","direction"
"CMTM3","PTPRC",0.71,0.880416666666667
"CMTM3","RC3H1",0.77,0.830833333333333
"HMGB1","SPN",0.72,0.8075
"CD55","CXCR4",0.86,0.8675
"DDX3X","TFRC",0.89,0.75
"ITGB7","TRIM11",0.72,0.6275
"LAMP3","TRIM6",0.78,0.935833333333333
"PCBP2","RAB29",0.76,0.965
"PCBP2","TRIM25",0.72,0.731666666666667
"SMPD1","TRIM38",0.84,0.9575
"APOD","CXCL6",0.73,0.891666666666667
"EPHA2","MIF",0.71,0.881666666666667
"IL1B","IL6",0.71,0.903333333333333
"TNF","TSLP",0.74,0.814166666666667
"CLEC4M","FCGR2B",0.73,0.823333333333333
"SAR1B","TAP2",0.73,0.824166666666667
"DDX60","IRF7",0.72,0.67
"MAP3K7","SLC15A3",0.74,0.845833333333333
"C5","SYK",0.77,0.769166666666667
"IL6R","NOD2",0.71,0.711666666666667
"EREG","IL6",0.73,0.884166666666667
"CCL20","CXCL3",0.7,0.966666666666667
"CCR2","CXCR4",0.76,0.676666666666667
"CD1C","HSPD1",0.76,0.879166666666667
"CD55","ZBTB1",0.76,0.872083333333333
"CLEC4G","FCGR2B",0.7,0.945833333333333
"IL1RL1","SUSD4",0.76,0.7325
"APPL1","CCL2",0.85,0.851666666666667
"FGR","STAP1",0.72,0.874166666666667
"AIRE","PADI2",0.73,0.800833333333333
"CCL2","CXCL10",0.74,0.940833333333333
"ICAM1","LDLR",0.78,0.889166666666667
"IFIT1","IFITM3",0.73,0.935833333333333
"HLA-E","RPL30",0.74,0.865833333333333
"IGHA1","IGKV3-20",0.79,0.99
"KLK7","SLC11A1",0.7,0.820833333333333
"RPL30","RPL39",0.7,0.73
"RPS19","RPL39",0.75,0.500833333333333
"ARG1","CD177",0.78,0.93625
"DDX58","FES",0.71,0.8175
"MAP2K1","MFHAS1",0.7,0.88
"IFIT1","OAS1",0.76,1
"IFIT1","USP18",0.7,0.958333333333333
"PTPN1","YTHDF3",0.71,0.701666666666667
"TTLL12","WNT5A",0.71,0.92
"CD68","HCK",0.78,0.799166666666667
"HLA-DRB1","IL31RA",0.76,0.860833333333333
